neq,length of domain,length of precursor film,Ca,tmax,dt,alpha,kappa,delta,substrate temperature,Marangoni number,Peclet number,phi_0 < 0.64,shift index: 0->plots h 1->plots phi 2->plots S,window height,continue computations?,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,0.1,0.0,1736.5,0.5,0,1.5,0,
2000,5.0,0.01,1000.0,100.0,1e-05,0.001,1.0,1.0,0.1,0.0,10000.0,0.1,0,1.5,0,
1500,3.0,0.01,1000.0,100.0,1e-06,0.1,1.0,1.0,1.0,0.05,10000.0,0.05,1,0.64,0,
1500,3.0,0.01,1000.0,100.0,1e-06,0.001,1.0,1.0,10.0,0.01,10000.0,0.05,1,0.64,0,
2000,5.0,0.01,1000.0,100.0,1e-05,0.1,1.0,1.0,1.0,0.001,10000.0,0.05,0,1.5,0,
1500,3.0,0.01,1000.0,100.0,1e-06,0.001,1.0,1.0,10.0,0.0001,10000.0,0.05,1,0.64,0,
1500,3.0,0.01,1000.0,100.0,1e-05,0.1,1.0,1.0,1.0,0.01,10000.0,0.05,0,1.5,0,
1500,3.0,0.01,1000.0,100.0,1e-06,0.001,1.0,1.0,10.0,0.005,10000.0,0.05,1,0.64,0,
1500,3.0,0.01,1000.0,1.7313219,1e-06,0.001,1.0,1.0,10.0,0.005,10000.0,0.05,1,0.64,0,
1500,3.0,0.01,1000.0,100.0,1e-05,0.1,1.0,1.0,1.0,0.0,10000.0,0.05,0,1.5,0,
1500,3.0,0.01,1000.0,100.0,1e-06,0.001,1.0,1.0,10.0,0.0,10000.0,0.05,1,0.64,0,
4000,10.0,0.1,1000.0,25.0,1e-05,1.0,0.1,0.0001,0.0001,0.0,10000.0,0.4,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.1,0.0,1736.5,0.25,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.2,0.0,1736.5,0.4,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.5,0.0,1736.5,0.4,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.35,0.0,1736.5,0.4,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.1,0.0,1736.5,0.4,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.3,0.0,1736.5,0.4,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.4,0.0,1736.5,0.35,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.5,0.0,1736.5,0.35,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.45,0.0,1736.5,0.35,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.1,0.0,1736.5,0.35,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.3,0.0,1736.5,0.35,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,1.0,0.0,1736.5,0.25,0,1.5,0,
4000,10.0,0.01,173.65,250.0,1e-05,0.0058,0.1736,0.1736,0.6,0.0,1736.5,0.25,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.5,0.0,1736.5,0.25,0,1.5,0,
4000,10.0,0.01,173.65,250.0,1e-05,0.0058,0.1736,0.1736,0.55,0.0,1736.5,0.25,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.1,0.0,1736.5,0.25,0,1.5,0,
4000,10.0,0.01,173.65,250.0,1e-05,0.0058,0.1736,0.1736,0.8,0.0,1736.5,0.25,0,1.5,0,
4000,10.0,0.01,173.65,250.0,1e-05,0.0058,0.1736,0.1736,0.01,0.0,1736.5,0.25,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,1.0,0.0,1736.5,0.15,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.9,0.0,1736.5,0.15,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.5,0.0,1736.5,0.15,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.8,0.0,1736.5,0.15,0,1.5,0,
1200,2.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,5.0,0.0,1736.5,0.1,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,1.0,0.0,1736.5,0.1,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,1.4,0.0,1736.5,0.1,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,0.5,0.0,1736.5,0.1,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,0.9,0.0,1736.5,0.1,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,0.1,0.0,1736.5,0.1,0,1.5,0,
2000,5.0,0.01,173.65,20.616639,1e-05,0.0058,0.1736,0.0,5.7604e-07,0.0,1736.5,0.1,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,2.5,0.0,1736.5,0.1,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.0,0.0,0.0,0.0,1736.5,0.1,0,1.5,0,
4000,10.0,0.01,173.65,150.0,1e-05,0.0058,0.1736,0.1736,0.01,0.0,1736.5,0.1,0,1.5,0,
1200,2.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,0.7,0.0,1736.5,0.1,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,1.0,0.0,1736.5,0.3,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.4,0.0,1736.5,0.3,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.5,0.0,1736.5,0.3,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.2,0.0,1736.5,0.3,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.1,0.0,1736.5,0.3,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.8,0.0,1736.5,0.3,0,1.5,0,
2000,5.0,0.01,173.65,120.0,1e-05,0.0058,0.0,0.0,0.0,0.0,1736.5,0.3,0,1.5,0,
2000,5.0,0.01,173.65,150.0,1e-05,0.0058,0.1736,0.1736,0.01,0.0,1736.5,0.3,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.2,0.0,1736.5,0.45,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.25,0.0,1736.5,0.45,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.3,0.0,1736.5,0.45,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,1.0,0.0,1736.5,0.5,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,0.2,0.0,1736.5,0.5,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,0.5,0.0,1736.5,0.5,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,0.15,0.0,1736.5,0.5,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,0.1,0.0,1736.5,0.5,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,0.3,0.0,1736.5,0.5,0,1.5,0,
2000,5.0,0.01,173.65,250.0,1e-05,0.0058,0.0,0.0,0.0,0.0,1736.5,0.5,0,1.5,0,
2000,5.0,0.01,173.65,150.0,1e-05,0.0058,0.1736,0.1736,0.01,0.0,1736.5,0.5,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,0.2,0.0,1736.5,0.55,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,0.15,0.0,1736.5,0.55,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,0.1,0.0,1736.5,0.55,0,1.5,0,
2000,5.0,0.01,173.65,30.0,1e-06,0.0058,0.1736,0.1736,1.0,0.0,1736.5,0.05,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.6,0.0,1736.5,0.05,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.5,0.0,1736.5,0.05,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,3.7,0.0,1736.5,0.05,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.1,0.0,1736.5,0.05,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.7,0.0,1736.5,0.05,0,1.5,0,
2000,5.0,0.01,173.65,45.0,1e-05,0.0058,0.0,0.0,0.0,0.0,1736.5,0.05,0,1.5,0,
4000,10.0,0.01,173.65,250.0,1e-05,0.0058,0.1736,0.1736,0.01,0.0,1736.5,0.05,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,0.2,0.0,1736.5,0.6,0,1.5,0,
2000,5.0,0.01,173.65,150.0,1e-05,0.0058,0.1736,0.1736,0.05,0.0,1736.5,0.6,0,1.5,0,
2000,5.0,0.01,173.65,50.0,1e-05,0.0058,0.1736,0.1736,0.1,0.0,1736.5,0.6,0,1.5,0,
2000,5.0,0.01,173.65,350.0,1e-05,0.0058,0.1736,0.1736,0.01,0.0,1736.5,0.6,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,1.0,0.0,1736.5,0.275,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.2,0.0,1736.5,0.275,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.5,0.0,1736.5,0.275,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.1,0.0,1736.5,0.275,0,1.5,0,
2000,5.0,0.01,173.65,150.0,1e-05,0.0058,0.1736,0.1736,0.01,0.0,1736.5,0.275,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,1.0,0.0,1736.5,0.2,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.7,0.0,1736.5,0.2,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.5,0.0,1736.5,0.2,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.75,0.0,1736.5,0.2,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.1,0.0,1736.5,0.2,0,1.5,0,
2000,5.0,0.01,173.65,100.0,1e-05,0.0058,0.1736,0.1736,0.8,0.0,1736.5,0.2,0,1.5,0,
2000,5.0,0.01,173.65,75.0,1e-05,0.0058,0.0,0.0,0.0,0.0,1736.5,0.2,0,1.5,0,
4000,10.0,0.01,173.65,250.0,1e-05,0.0058,0.1736,0.1736,0.01,0.0,1736.5,0.2,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,0.1,0.0,7071.1,0.25,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,0.45,0.0,7071.1,0.4,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,0.5,0.0,7071.1,0.4,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,0.1,0.0,7071.1,0.4,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,0.4,0.0,7071.1,0.4,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,2.85,0.0,7071.1,0.1,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,2.9,0.0,7071.1,0.1,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,1.0,0.0,7071.1,0.3,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,0.75,0.0,7071.1,0.3,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,0.5,0.0,7071.1,0.3,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,0.8,0.0,7071.1,0.3,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,0.2,0.0,7071.1,0.5,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,0.1,0.0,7071.1,0.5,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,0.25,0.0,7071.1,0.5,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,10.0,0.0,7071.1,0.05,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,9.8,0.0,7071.1,0.05,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,1.0,0.0,7071.1,0.2,0,1.5,0,
2000,5.0,0.01,707.1068,100.0,1e-05,0.0014,0.7071,0.7071,1.35,0.0,7071.1,0.2,0,1.5,0,
4000,20.0,0.01,1000.0,1084.0,1e-05,1.0,0.1,0.0,0.0,0.0,10000.0,0.1,0,1.5,0,
4000,10.0,0.1,1000.0,25.0,1e-05,1.0,0.1,0.0,0.0,10.0,10000.0,0.4,0,1.5,0,
4000,10.0,0.1,1000.0,15.0,1e-05,1.0,0.1,0.0,0.0,0.1,10000.0,0.1,0,1.5,0,
4000,10.0,0.1,1000.0,15.0,1e-05,1.0,0.1,0.0,0.0,10.0,10000.0,0.1,0,1.5,0,
4000,10.0,0.1,173.648,40.0,1e-05,1.0,0.1,0.001,0.001,1e-05,1736.4818,0.4,0,1.5,1,
4000,10.0,0.1,1000.0,25.0,1e-05,1.0,0.1,0.0,0.0,1e-05,10000.0,0.4,0,1.5,0,
4000,10.0,0.1,1000.0,25.0,1e-05,1.0,0.1,0.0001,0.001,1e-05,10000.0,0.4,0,1.5,0,
4000,10.0,0.1,500.0,25.0,1e-05,1.0,0.1,0.0,0.0,1e-05,5000.0,0.4,0,1.5,0,
4000,10.0,0.1,1000.0,25.0,1e-05,1.0,0.1,0.001,0.001,1e-05,10000.0,0.4,0,1.5,0,
4000,10.0,0.1,173.648,37.12712000058514,1e-05,1.0,0.1,0.0,0.0,1e-05,1736.4818,0.4,0,1.5,1,
4000,10.0,0.1,1000.0,25.0,1e-05,1.0,0.1,0.01,0.001,1e-05,10000.0,0.4,0,1.5,0,
4000,10.0,0.1,1000.0,25.0,1e-05,1.0,0.1,0.01,0.001,10.0,10000.0,0.4,0,1.5,0,
4000,10.0,0.1,1000.0,25.0,1e-05,1.0,0.1,0.001,0.001,100.0,10000.0,0.4,0,1.5,0,
4000,10.0,0.1,500.0,25.0,1e-05,1.0,0.1,0.001,0.001,1e-05,5000.0,0.4,0,1.5,0,
4000,10.0,0.1,200.0,35.0,1e-05,5.0,0.02,2e-05,0.05,50.0,2000.0,0.4,0,1.5,0,
4000,10.0,0.1,1000.0,25.0,1e-05,1.0,0.1,0.0001,0.01,1e-05,10000.0,0.1,0,1.5,0,
4000,10.0,0.1,1000.0,25.0,1e-05,1.0,0.1,0.0001,0.01,1e-05,10000.0,0.4,0,1.5,0,
4000,10.0,0.1,1000.0,25.0,1e-05,1.0,0.1,0.0001,0.001,1e-05,10000.0,0.1,0,1.5,0,
4000,10.0,0.1,1000.0,35.0,1e-05,1.0,0.1,0.0001,0.01,10.0,10000.0,0.4,0,1.5,0,
